Year,Page,Brand,Product,Size,Base_Price,Promo_Price,Promo_Type,Promo_Details,Digital_Req,Non_Digital_Price,Member_Req,Savings,Discount_Depth,Net_Price,Core_Item,Retailer,Promo_Type_Std,Price_Per_Unit,Net_Price_Numeric
2019,1,Open Nature,Whole Turkey,10-20 lbs frozen,,$1.99/lb,STRAIGHT_PRICE,,NO,,NO,,,1.99,TURKEY,Albertsons,STRAIGHT_PRICE,1.99,1.99
2019,1,Open Nature,Leg of Lamb,bone-in,,$5.99/lb,STRAIGHT_PRICE,,NO,,NO,,,5.99,,Albertsons,STRAIGHT_PRICE,5.99,5.99
2019,1,Open Nature,Rack of Lamb,bone-in,,$14.99/lb,STRAIGHT_PRICE,,NO,,NO,,,14.99,,Albertsons,STRAIGHT_PRICE,14.99,14.99
2019,1,Open Nature,Uncured Bacon,12 oz,,$5.99,STRAIGHT_PRICE,,NO,,NO,,,5.99,,Albertsons,STRAIGHT_PRICE,5.99,5.99
2019,1,Angie's,Boom Chicka Pop Popcorn,4.4-4.8 oz,,$2.99,STRAIGHT_PRICE,,NO,,NO,,,2.99,,Albertsons,STRAIGHT_PRICE,2.99,2.99
2019,1,L&A,Juice,32 oz select varieties,,$6.99,STRAIGHT_PRICE,,NO,,NO,,,6.99,,Albertsons,STRAIGHT_PRICE,6.99,6.99
2019,1,Bush's,Organic Beans,15 oz select varieties,,$1.50,MULTIBUY,2 for $3,NO,,NO,,,1.50,,Albertsons,MULTIBUY,1.5,1.5
2019,1,Open Nature,Greek or Icelandic Yogurt,5.3 oz,,$0.99,STRAIGHT_PRICE,,NO,,NO,,,0.99,,Albertsons,STRAIGHT_PRICE,0.99,0.99
2019,1,Crunchmaster,Crackers,3.54-4 oz select varieties,,$2.99,STRAIGHT_PRICE,,NO,,NO,,,2.99,,Albertsons,STRAIGHT_PRICE,2.99,2.99
2019,1,Q,Sparkling Beverage,4-pk 6.7 oz btls,,$4.99,STRAIGHT_PRICE,,NO,,NO,,,4.99,,Albertsons,STRAIGHT_PRICE,4.99,4.99
2019,1,O Organics,Pasta Sauce,25 oz select varieties,,$4.49,STRAIGHT_PRICE,,NO,,NO,,,4.49,,Albertsons,STRAIGHT_PRICE,4.49,4.49
2019,1,Simply Organic,Vanilla Extract,4 oz,,$15.99,STRAIGHT_PRICE,,NO,,NO,,,15.99,,Albertsons,STRAIGHT_PRICE,15.99,15.99
2019,1,,Fall Sunflower Bouquet,,,$12.99,STRAIGHT_PRICE,,NO,,NO,,,12.99,,Albertsons,STRAIGHT_PRICE,12.99,12.99
2019,1,,Gobbler Centerpiece,,,$29.99,STRAIGHT_PRICE,,NO,,NO,,,29.99,,Albertsons,STRAIGHT_PRICE,29.99,29.99
2019,1,,Holiday Tree,3-4 ft,,$24.99,STRAIGHT_PRICE,,NO,,NO,,,24.99,,Albertsons,STRAIGHT_PRICE,24.99,24.99
2019,1,,Holiday Wreath,22 in,,$14.99,STRAIGHT_PRICE,,NO,,NO,,,14.99,,Albertsons,STRAIGHT_PRICE,14.99,14.99
2019,2,Lindsay,Olives Snack and Go or Infused Blend,4-pk 1 oz cups or 6.3 oz,,$2.50,MULTIBUY,2 for $5,NO,,NO,,,2.50,,Albertsons,MULTIBUY,2.5,2.5
2019,2,McCormick,Brown Gravy Mix,.87 oz select varieties,,$1.00,MULTIBUY,2 for $1,NO,,NO,,,0.50,,Albertsons,MULTIBUY,1.0,0.5
2019,2,O Organics,Grain Rice Quinoa or Lentil Blend,8.8 oz select varieties,,$0.99,STRAIGHT_PRICE,,NO,,NO,,,0.99,,Albertsons,STRAIGHT_PRICE,0.99,0.99
2019,2,Nabisco,Ritz Crackers,7.5-13.7 oz,,$2.99,STRAIGHT_PRICE,,NO,,NO,,,2.99,,Albertsons,STRAIGHT_PRICE,2.99,2.99
2019,2,Private Label,Toasted Chips,7.1-8.1 oz,,$2.99,STRAIGHT_PRICE,,NO,,NO,,,2.99,,Albertsons,STRAIGHT_PRICE,2.99,2.99
2019,2,Signature Select,Gravy or Seasoning Mix,1-1.5 oz select varieties,,$0.00,BOGO_FREE,Buy 1 Get 1 FREE lower priced item,NO,,NO,50%,50%,,,Albertsons,BOGO_FREE,0.0,
2019,2,Signature Select,Mushroom Pieces & Stems,4 oz,,$0.99,STRAIGHT_PRICE,,NO,,NO,,,0.99,,Albertsons,STRAIGHT_PRICE,0.99,0.99
2019,2,Signature Select,Cooking Stock,32 oz select varieties,,$2.49,STRAIGHT_PRICE,,NO,,NO,,,2.49,,Albertsons,STRAIGHT_PRICE,2.49,2.49
2019,2,Signature Select or O Organics,Coffee,72-90 ct single serve cups select varieties,,$19.99,STRAIGHT_PRICE,,NO,,NO,,,19.99,,Albertsons,STRAIGHT_PRICE,19.99,19.99
2019,2,Refreshe,Purified Drinking Water,24-pk 16.9 oz btls,,$2.69,STRAIGHT_PRICE,,NO,,NO,,,2.69,,Albertsons,STRAIGHT_PRICE,2.69,2.69
2019,2,O Organics,Raw Spreadable Honey,16 oz,,$3.99,STRAIGHT_PRICE,,NO,,NO,,,3.99,,Albertsons,STRAIGHT_PRICE,3.99,3.99
2019,2,Signature Reserve,Pecan Pie Filling,21 oz,,$6.99,STRAIGHT_PRICE,,NO,,NO,,,6.99,,Albertsons,STRAIGHT_PRICE,6.99,6.99
2019,2,O Organics,Oatmeal,11.29 oz select varieties,,$3.00,MULTIBUY,2 for $6,NO,,NO,,,3.00,,Albertsons,MULTIBUY,3.0,3.0
2019,2,Diamond,Pie Crust,6 oz select varieties,,$3.50,MULTIBUY,2 for $7,NO,,NO,,,3.50,,Albertsons,MULTIBUY,3.5,3.5
2019,2,Pompeian,Extra Virgin Olive Oil,32 oz,,$9.99,STRAIGHT_PRICE,,NO,,NO,,,9.99,,Albertsons,STRAIGHT_PRICE,9.99,9.99
2019,2,Signature Select,Cooking Spray,6 oz select varieties,,$1.99,STRAIGHT_PRICE,,NO,,NO,,,1.99,,Albertsons,STRAIGHT_PRICE,1.99,1.99
2019,2,Nabisco,Oreo Cookies or Thins Bites,7.9-15.35 oz or 6-6.4 oz select varieties,,$2.50,MULTIBUY,2 for $5,NO,,NO,,,2.50,,Albertsons,MULTIBUY,2.5,2.5
2019,2,Signature Home,Dish Detergent,20-24 oz select varieties,,$2.49,STRAIGHT_PRICE,,NO,,NO,,,2.49,,Albertsons,STRAIGHT_PRICE,2.49,2.49
2019,2,Signature Home,Garbage Bags,20-30 ct select varieties,,$1.00,MULTIBUY,10 for $10,NO,,NO,,,1.00,,Albertsons,MULTIBUY,1.0,1.0
2019,2,Signature Select,Napkins,500 ct,,$4.29,STRAIGHT_PRICE,,NO,,NO,,,4.29,,Albertsons,STRAIGHT_PRICE,4.29,4.29
2019,2,Reynolds Kitchens,Plastic Wrap Slow Cooker Liners or Turkey Cooking Bags,select sizes and varieties,,$2.50,MULTIBUY,2 for $5,NO,,NO,,,2.50,,Albertsons,MULTIBUY,2.5,2.5
2019,2,Dasani,Sparkling Water,8-pk 12 oz cans,,$2.50,MULTIBUY,2 for $5,NO,,NO,,,2.50,,Albertsons,MULTIBUY,2.5,2.5
2019,2,Doritos,Tortilla Chips,9.25-11.25 oz,,$2.50,MULTIBUY,2 for $5,NO,,NO,,,2.50,,Albertsons,MULTIBUY,2.5,2.5
2019,2,Lay's,Potato Chips,5-8 oz,,$3.00,MULTIBUY,2 for $6,NO,,NO,,,3.00,,Albertsons,MULTIBUY,3.0,3.0
2019,2,7-Up/Sunkist/A&W,Soft Drinks,2 ltr btl,,$0.88,MULTIBUY,When you buy any 3,NO,,NO,,,0.88,,Albertsons,MULTIBUY,0.88,0.88
2019,2,7-Up/Sunkist/A&W,Soft Drinks,12-pk 12 oz cans or 8-pk btls,,$2.99,DIGITAL_ONLY,When you buy any 5 Limit 5 just for U,YES,$1.99,NO,,,1.99,,Albertsons,DIGITAL_ONLY,2.99,1.99
2019,2,Coca-Cola,Soft Drinks,6-pk 7.5 oz cans select varieties,,$2.50,MULTIBUY,2 for $5,NO,,NO,,,2.50,,Albertsons,MULTIBUY,2.5,2.5
2019,2,Off the Eaten Path/Red Rock Deli/Smartfood/Tostitos/Lay's,Chips/Popcorn/Salsa/Dip,select sizes,,$3.50,MULTIBUY,2 for $7,NO,,NO,,,3.50,,Albertsons,MULTIBUY,3.5,3.5
2019,2,Powerade,Sports Drink,8-pk 20 oz btls,,$3.99,MULTIBUY,When you buy 2,NO,,NO,,,3.99,,Albertsons,MULTIBUY,3.99,3.99
2019,2,Gold Peak,Tea,2 ltr btl,,$3.99,MULTIBUY,When you buy 2,NO,,NO,,,3.99,,Albertsons,MULTIBUY,3.99,3.99
2019,2,Dasani,Water,24-pk 16.9 oz btls,,$3.99,MULTIBUY,When you buy 2,NO,,NO,,,3.99,,Albertsons,MULTIBUY,3.99,3.99
2019,2,Pepsi,Soft Drinks,2 ltr,,$1.00,MULTIBUY,5 for $5 when you buy 5,NO,,NO,,,1.00,,Albertsons,MULTIBUY,1.0,1.0
2019,2,Mars,Assorted Candy,32.3-42 oz select varieties,,$9.99,STRAIGHT_PRICE,,NO,,NO,,,9.99,,Albertsons,STRAIGHT_PRICE,9.99,9.99
2019,2,Lindor,Candy,5.1 oz select varieties,,$3.50,MULTIBUY,2 for $7,NO,,NO,,,3.50,,Albertsons,MULTIBUY,3.5,3.5
2019,2,Starbucks,Cold Brew or Frappuccino,11-13.7 oz btl,,$2.50,MULTIBUY,2 for $5,NO,,NO,,,2.50,,Albertsons,MULTIBUY,2.5,2.5
2019,2,Lipton,Tea or Pure Leaf Tea,1 gal or 84 oz btl,,$2.50,MULTIBUY,2 for $5,NO,,NO,,,2.50,,Albertsons,MULTIBUY,2.5,2.5
2019,2,,750 ml Wine,select varieties,,$0.00,PERCENT_OFF,10% off when you buy any 6 mix or match,NO,,NO,10%,10%,,,Albertsons,PERCENT_OFF,0.0,
2019,2,Bogle,Wine,750 ml select varieties,$8.99,$8.09,MIX_MATCH,Final Price when you buy any 6 mix or match -10%,NO,,NO,$0.90,10%,8.09,,Albertsons,MIX_MATCH,8.09,8.09
2019,2,Woodbridge,Wine,1.5 ltr select varieties,,$10.99,STRAIGHT_PRICE,,NO,,NO,,,10.99,,Albertsons,STRAIGHT_PRICE,10.99,10.99
2019,2,Black Box/Bota Box/Box Wize,Wine,3 ltr,,$0.00,DOLLAR_OFF,Buy 2 Save $4 in a single transaction,NO,,NO,$2.00,,varies,,Albertsons,DOLLAR_OFF,0.0,
2019,2,Angry Orchard/Samuel Adams/Kona Brewing,Beer,6-pk 12 oz btls,,$8.99,STRAIGHT_PRICE,,NO,,NO,,,8.99,,Albertsons,STRAIGHT_PRICE,8.99,8.99
2019,2,Stella Artois,Beer,12-pk 11.2 oz btls,$16.99,$13.99,INSTANT_REBATE,with PayPal rebate Limit 1 rebate per customer,NO,,$16.99,$3.00,18%,13.99,,Albertsons,INSTANT_REBATE,13.99,13.99
2019,2,PepsiCo & Frito-Lay,Products,select participating items,,$0.00,SPEND_GET,Buy 5 Save $5 using just for U number,YES,,NO,$5.00,,,,Albertsons,SPEND_GET,0.0,
2019,3,L'Oreal Paris,Cosmetics Hair or Skin Care,select sizes and varieties,,$0.00,SPEND_GET,Buy 3 Save $3 Mix & Match,NO,,NO,,,varies,,Albertsons,SPEND_GET,0.0,
2019,3,Signature Select,Giftwrap or Holiday Lights,select varieties,,$0.00,PERCENT_OFF,33% off,NO,,NO,33%,33%,,,Albertsons,PERCENT_OFF,0.0,
2019,3,,Holiday Gift Bags or Box Cards,select varieties,,$0.00,PERCENT_OFF,33% off,NO,,NO,33%,33%,,,Albertsons,PERCENT_OFF,0.0,
2019,3,Dial,Body Wash Bar or Refill Soap,select sizes and varieties,,$4.00,MULTIBUY,2 for $8,NO,,NO,,,4.00,,Albertsons,MULTIBUY,4.0,4.0
2019,3,Vaseline,Intensive Care Lotion,20.3 oz select varieties,,$5.99,STRAIGHT_PRICE,,NO,,NO,,,5.99,,Albertsons,STRAIGHT_PRICE,5.99,5.99
2019,3,Herbal Essences or Aussie,Hair Care,select sizes and varieties,,$3.49,STRAIGHT_PRICE,,NO,,NO,,,3.49,,Albertsons,STRAIGHT_PRICE,3.49,3.49
2019,3,,Holiday Home Decorations,select varieties in select stores while supplies last,,$0.00,PERCENT_OFF,33% off,NO,,NO,33%,33%,,,Albertsons,PERCENT_OFF,0.0,
2019,3,ACT,Oral Rinse,33.8 oz select varieties,,$5.49,STRAIGHT_PRICE,,NO,,NO,,,5.49,,Albertsons,STRAIGHT_PRICE,5.49,5.49
2019,3,Dove,Skin Care or Dry Spray Deodorant,select sizes and varieties,,$6.99,STRAIGHT_PRICE,,NO,,NO,,,6.99,,Albertsons,STRAIGHT_PRICE,6.99,6.99
2019,3,Signature Care,Adult Underwear or Pads,16-66 ct select varieties,,$7.99,STRAIGHT_PRICE,,NO,,NO,,,7.99,,Albertsons,STRAIGHT_PRICE,7.99,7.99
2019,3,Betty Crocker,Cake Décor,select sizes and varieties,,$0.00,PERCENT_OFF,33% off,NO,,NO,33%,33%,,,Albertsons,PERCENT_OFF,0.0,
2019,3,Nature's Bounty or Osteo Bi-Flex,Vitamins,select sizes and varieties,,$0.00,BOGO_FREE,Buy 1 Get 1 FREE equal or lesser value,NO,,NO,50%,50%,,,Albertsons,BOGO_FREE,0.0,
2019,3,Signature Select,Sherpa Throws,50x60 in,,$0.00,PERCENT_OFF,33% off,NO,,NO,33%,33%,,,Albertsons,PERCENT_OFF,0.0,
2019,3,Gatorade,Protein Bar,2.8 oz select varieties,,$1.00,MULTIBUY,5 for $5 when you buy 5,NO,,NO,,,1.00,,Albertsons,MULTIBUY,1.0,1.0
2019,3,Quest,Nutrition Bar,2.12 oz select varieties,,$1.67,MULTIBUY,3 for $5,NO,,NO,,,1.67,,Albertsons,MULTIBUY,1.67,1.67
2019,3,Glucerna,Shakes,6-pk 8 oz btls select varieties,,$9.99,STRAIGHT_PRICE,,NO,,NO,,,9.99,,Albertsons,STRAIGHT_PRICE,9.99,9.99
2019,3,Signature Select,Socks,2-pk,,$0.00,PERCENT_OFF,33% off select stores while supplies last,NO,,NO,33%,33%,,,Albertsons,PERCENT_OFF,0.0,
2019,3,Luden's,Throat Drops,30 ct,,$1.00,MULTIBUY,10 for $10,NO,,NO,,,1.00,,Albertsons,MULTIBUY,1.0,1.0
2019,3,Blistex,Lip Care,0.15 oz balm,,$1.00,MULTIBUY,10 for $10,NO,,NO,,,1.00,,Albertsons,MULTIBUY,1.0,1.0
2019,3,Prilosec or Pepto-Bismol,Digestive Care,14-24 ct,,$10.99,STRAIGHT_PRICE,,NO,,NO,,,10.99,,Albertsons,STRAIGHT_PRICE,10.99,10.99
2019,3,Mucinex,Cold Medicine,14-20 ct or 6 oz,$12.49,$10.49,DIGITAL_ONLY,Sale Price -$2.00 Limit 3,YES,$12.49,NO,$2.00,16%,10.49,,Albertsons,DIGITAL_ONLY,10.49,10.49
2019,3,American Crew/TIGI/Matrix/RUSK/Biolage,Hair Care,select sizes,,$0.00,PERCENT_OFF,33% off,NO,,NO,33%,33%,,,Albertsons,PERCENT_OFF,0.0,
2019,4,Febreze/Glade/Air Wick/Enviroscent,Holiday Air Care,select sizes and varieties seasonal scents,,$0.00,SPEND_GET,Buy 3 Get a $10 Reward via Fandango,NO,,NO,,,varies,,Albertsons,SPEND_GET,0.0,
2019,4,Good Cook/Touch/T-Fal,Kitchen Gadgets,select sizes and varieties,,$0.00,BOGO_FREE,Buy 2 Get 1 FREE equal or lesser value,NO,,NO,33%,33%,,,Albertsons,BOGO_FREE,0.0,
2019,4,Kinder Joy,Frozen II Candy,0.7 oz,,$1.25,MULTIBUY,4 for $5,NO,,NO,,,1.25,,Albertsons,MULTIBUY,1.25,1.25
2019,4,Good Cook,Quick Baste Roaster,select varieties,,$9.99,STRAIGHT_PRICE,,NO,,NO,,,9.99,,Albertsons,STRAIGHT_PRICE,9.99,9.99
2019,4,Luxury Spa,Weighted Blanket,12 lb 48x72 in,,$39.99,STRAIGHT_PRICE,,NO,,NO,,,39.99,,Albertsons,STRAIGHT_PRICE,39.99,39.99
2019,4,,Bakeware or Cookware,select brands sizes and varieties,,$0.00,BOGO_FREE,Buy 2 Get 1 FREE equal or lesser value,NO,,NO,33%,33%,,,Albertsons,BOGO_FREE,0.0,
2019,4,Hershey's,Christmas Candy,9-11 oz,,$3.00,MULTIBUY,3 for $9 in select stores while supplies last,NO,,NO,,,3.00,,Albertsons,MULTIBUY,3.0,3.0
2019,4,Ghirardelli,Christmas Candy,5.7-9 oz,,$4.99,STRAIGHT_PRICE,,NO,,NO,,,4.99,,Albertsons,STRAIGHT_PRICE,4.99,4.99
2019,4,Ferrero Rocher,Chocolate,9.1-10.6 oz select varieties,,$9.99,STRAIGHT_PRICE,,NO,,NO,,,9.99,,Albertsons,STRAIGHT_PRICE,9.99,9.99
2019,4,Anchor Hocking,Glass Bakeware,select sizes and varieties,,$0.00,BOGO_FREE,Buy 2 Get 1 FREE equal or lesser value,NO,,NO,33%,33%,,,Albertsons,BOGO_FREE,0.0,
2019,4,Handi-Foil,Foilware,select sizes and varieties,,$0.00,BOGO_FREE,Buy 2 Get 1 FREE equal or lesser value,NO,,NO,33%,33%,,,Albertsons,BOGO_FREE,0.0,
2019,4,,Holiday Toys or Plush,select varieties in select stores while supplies last,,$0.00,BOGO_PERCENT,Buy 1 Get 1 50% off equal or lesser value,NO,,NO,25%,25%,,,Albertsons,BOGO_PERCENT,0.0,
2019,4,Duracell,Optimum or Coppertop Batteries,6-8 ct AA or AAA,,$7.49,STRAIGHT_PRICE,,NO,,NO,,,7.49,,Albertsons,STRAIGHT_PRICE,7.49,7.49
2019,4,Ziploc,Food Storage,select sizes and varieties,,$0.00,BOGO_FREE,Buy 2 Get 1 FREE equal or lesser value,NO,,NO,33%,33%,,,Albertsons,BOGO_FREE,0.0,
2019,4,Bialetti,Aeternum Cookware,10 pc set,,$79.99,STRAIGHT_PRICE,,NO,,NO,,,79.99,,Albertsons,STRAIGHT_PRICE,79.99,79.99
2019,5,Kretschmar,Ham/Colby Cheese/Pepper Jack Cheese,available at select stores,,$7.99/lb,STRAIGHT_PRICE,,NO,,NO,,,7.99,,Albertsons,STRAIGHT_PRICE,7.99,7.99
2019,5,Double R Ranch,Roast Beef,homestyle Italian or London broil,,$8.99/lb,STRAIGHT_PRICE,,NO,,NO,,,8.99,,Albertsons,STRAIGHT_PRICE,8.99,8.99
2019,5,Dofino,Creamy Havarti Cheese,,,$8.99/lb,STRAIGHT_PRICE,,NO,,NO,,,8.99,,Albertsons,STRAIGHT_PRICE,8.99,8.99
2019,5,,Store Roasted Turkey Breast,traditional or chipotle brown sugar,,$7.49/lb,STRAIGHT_PRICE,,NO,,NO,,,7.49,,Albertsons,STRAIGHT_PRICE,7.49,7.49
2019,5,,Rotisserie Chicken,30 oz traditional lemon pepper or rosemary garlic,,$5.99,STRAIGHT_PRICE,,NO,,NO,,,5.99,,Albertsons,STRAIGHT_PRICE,5.99,5.99
2019,5,,Deli Fresh Salad,apple waldorf crunchy broccoli or Greek salad,,$5.99/lb,STRAIGHT_PRICE,,NO,,NO,,,5.99,,Albertsons,STRAIGHT_PRICE,5.99,5.99
2019,5,Sabra,Hummus,10 oz select varieties,,$3.99,STRAIGHT_PRICE,,NO,,NO,,,3.99,,Albertsons,STRAIGHT_PRICE,3.99,3.99
2019,5,Stacy's,Pita or Bagel Crisps,7-7.33 oz,,$3.00,MULTIBUY,2 for $6,NO,,NO,,,3.00,,Albertsons,MULTIBUY,3.0,3.0
2019,5,Signature Cafe,Dip,10-12 oz artichoke spinach parmesan or jalapeno,,$3.99,STRAIGHT_PRICE,,NO,,NO,,,3.99,,Albertsons,STRAIGHT_PRICE,3.99,3.99
2019,5,Signature Cafe,Holiday Side Dish,14-32 oz,,$4.99,STRAIGHT_PRICE,and up,NO,,NO,,,4.99,,Albertsons,STRAIGHT_PRICE,4.99,4.99
2019,5,King's,Hawaiian Rolls,12 ct 12 oz,,$3.50,MULTIBUY,2 for $7,NO,,NO,,,3.50,,Albertsons,MULTIBUY,3.5,3.5
2019,5,,Pumpkin Chocolate Chip Cookies,10 ct,,$4.99,STRAIGHT_PRICE,,NO,,NO,,,4.99,,Albertsons,STRAIGHT_PRICE,4.99,4.99
2019,5,,Mini Cocktail Croissants,24 ct pkg,,$6.99,STRAIGHT_PRICE,,NO,,NO,,,6.99,,Albertsons,STRAIGHT_PRICE,6.99,6.99
2019,5,,Mini Muffins,12 ct select varieties,,$3.49,STRAIGHT_PRICE,,NO,,NO,,,3.49,,Albertsons,STRAIGHT_PRICE,3.49,3.49
2019,5,,Butterflake Rolls,12 ct,,$3.99,STRAIGHT_PRICE,,NO,,NO,,,3.99,,Albertsons,STRAIGHT_PRICE,3.99,3.99
2019,5,Signature Select,Artisan Bread,16-19 oz select varieties,,$3.49,STRAIGHT_PRICE,,NO,,NO,,,3.49,,Albertsons,STRAIGHT_PRICE,3.49,3.49
2019,5,Sara Lee,Cheesecake Original or French Strawberry,17-26 oz,,$0.00,PERCENT_OFF,30% off,NO,,NO,30%,30%,,,Albertsons,PERCENT_OFF,0.0,
2019,5,Pillsbury,Pie Crusts,14.1 oz,,$2.50,MULTIBUY,2 for $5,NO,,NO,,,2.50,,Albertsons,MULTIBUY,2.5,2.5
2019,5,Kraft,Philadelphia Dip,10 oz,,$3.00,MULTIBUY,2 for $6,NO,,NO,,,3.00,,Albertsons,MULTIBUY,3.0,3.0
2019,5,Lucerne,Cheese - Mozzarella or Ricotta,16-32 oz select varieties,,$3.99,STRAIGHT_PRICE,,NO,,NO,,,3.99,,Albertsons,STRAIGHT_PRICE,3.99,3.99
2019,5,Tropicana,Pure Premium Orange Juice,89 oz,,$5.99,STRAIGHT_PRICE,,NO,,NO,,,5.99,,Albertsons,STRAIGHT_PRICE,5.99,5.99
2019,5,Rhodes,Rolls Sweet or Dinner,48 oz,,$3.49,STRAIGHT_PRICE,,NO,,NO,,,3.49,,Albertsons,STRAIGHT_PRICE,3.49,3.49
2019,5,Marie Callender's,Deep Dish Pie Shell,2-pk 16 oz,,$3.49,STRAIGHT_PRICE,,NO,,NO,,,3.49,,Albertsons,STRAIGHT_PRICE,3.49,3.49
2019,5,Challenge,Butter,quarters or spreadable select varieties,,$3.99,STRAIGHT_PRICE,,NO,,NO,,,3.99,,Albertsons,STRAIGHT_PRICE,3.99,3.99
2019,5,Flav-R-Pac,Vegetables Stir Fry or Roasted Vegetables,select sizes and varieties,,$1.67,MULTIBUY,3 for $5,NO,,NO,,,1.67,,Albertsons,MULTIBUY,1.67,1.67
2019,5,Lucerne,Cottage Cheese,16 oz,,$1.99,STRAIGHT_PRICE,,NO,,NO,,,1.99,,Albertsons,STRAIGHT_PRICE,1.99,1.99
2019,5,Simply Potatoes,Mashed or Diced Potatoes,20 oz select varieties,,$3.99,STRAIGHT_PRICE,,NO,,NO,,,3.99,,Albertsons,STRAIGHT_PRICE,3.99,3.99
2019,5,Umpqua,Ice Cream,1.75 qt,,$3.99,STRAIGHT_PRICE,,NO,,NO,,,3.99,,Albertsons,STRAIGHT_PRICE,3.99,3.99
2019,5,Lucerne,Half & Half,64 oz,,$3.99,STRAIGHT_PRICE,,NO,,NO,,,3.99,,Albertsons,STRAIGHT_PRICE,3.99,3.99
2019,5,Danon,Activia Yogurt,16 oz,,$1.99,STRAIGHT_PRICE,,NO,,NO,,,1.99,,Albertsons,STRAIGHT_PRICE,1.99,1.99
2019,5,Danimals,Smoothie,18.6 oz,,$2.50,MULTIBUY,2 for $5,NO,,NO,,,2.50,,Albertsons,MULTIBUY,2.5,2.5
2019,5,Signature Care,Batteries AA or AAA,4-8 ct,,$3.98,STRAIGHT_PRICE,,NO,,NO,,,3.98,,Albertsons,STRAIGHT_PRICE,3.98,3.98
2019,5,Lodge,Cast Iron Skillet,12 in,,$29.99,STRAIGHT_PRICE,,NO,,NO,,,29.99,,Albertsons,STRAIGHT_PRICE,29.99,29.99
2019,5,Dr Teal's,Epsom Salt,34 oz or 3 lbs,,$4.99,STRAIGHT_PRICE,,NO,,NO,,,4.99,,Albertsons,STRAIGHT_PRICE,4.99,4.99
2019,5,Lysol,Disinfectant Wipes,35 ct,,$1.99,STRAIGHT_PRICE,,NO,,NO,,,1.99,,Albertsons,STRAIGHT_PRICE,1.99,1.99
2019,5,,Household Cleaning Products,select sizes and varieties,,$0.00,BOGO_FREE,Buy 2 Get 1 FREE equal or lower price item,NO,,NO,33%,33%,,,Albertsons,BOGO_FREE,0.0,
2019,5,Tylenol,Cold or Children's or Infants' Tylenol,4-8 oz liquid or 24 ct caplets,,$6.49,STRAIGHT_PRICE,,NO,,NO,,,6.49,,Albertsons,STRAIGHT_PRICE,6.49,6.49
2019,5,Signature Care,Liquid Antacid,12 oz select varieties,,$5.99,STRAIGHT_PRICE,,NO,,NO,,,5.99,,Albertsons,STRAIGHT_PRICE,5.99,5.99
2019,5,Kinder Bueno,Candy,1.5 oz,,$0.00,BOGO_FREE,Buy 1 Get Kinder Joy 7 oz FREE Limit 1,YES,,NO,,,0.00,,Albertsons,BOGO_FREE,0.0,0.0
